Time (BJD_TBD - 2450000), F_h/L_star (ppm)
9.880048701028797950e+03,3.670447323797659145e+00
9.880048719588525273e+03,3.670488642025073744e+00
9.880048738148250777e+03,3.670529960410137349e+00
9.880048756707976281e+03,3.670571278956896943e+00
9.880048775267703604e+03,3.670612597669402621e+00
9.880048793827429108e+03,3.670653916539553752e+00
9.880048812387156431e+03,3.670695235575446080e+00
9.880048830946881935e+03,3.670736554768980753e+00
9.880048849506609258e+03,3.670777874128254847e+00
9.880048868066334762e+03,3.670819193645165512e+00
9.880048886626062085e+03,3.670860513327813823e+00
9.880048905185787589e+03,3.670901833168096040e+00
9.880048923745514912e+03,3.670943153174110130e+00
9.880048942305240416e+03,3.670984473337757681e+00
9.880048960864967739e+03,3.671025793667135773e+00
9.880048979424693243e+03,3.671067114154140665e+00
9.880048997984418747e+03,3.671108434802822007e+00
9.880049016544146070e+03,3.671149755617228116e+00
9.880049035103871574e+03,3.671191076589259250e+00
9.880049053663598897e+03,3.671232397727010710e+00
